library_id,advertiser,advertiser_raw,started,running_days,active_days,media_type,cta,display_domain,headline,description,primary_text,page_likes,multi_version,creative_image
1096888999668057,Omre,Omre,14 Aug 2026,4.3,4,static,SEE_DETAILS,CEO.OMRE.CO,⚡ The 7 reasons you start losing your edge in your 50s.,Built with Heyflow,"The name that takes longer to come back. Losing your train of thought mid-meeting. Reading the same paragraph twice. 🧠
For high performers, even small slips are hard to ignore. There's a specific reason this starts happening in your 50s — and it's more fixable than most people realise. Dr. Pedram M.D. explains.",7268,False,image1212.jpg
1632778945031520,Omre,Omre,14 Aug 2026,4.3,4,static,SEE_DETAILS,CEO.OMRE.CO,⚡ The 7 reasons you start losing your edge in your 50s.,Built with Heyflow,"The name that takes longer to come back. Losing your train of thought mid-meeting. Reading the same paragraph twice. 🧠
For high performers, even small slips are hard to ignore. There's a specific reason this starts happening in your 50s — and it's more fixable than most people realise. Dr. Pedram M.D. explains.",7268,False,image223.jpg
1371323024538280,Omre,Omre,12 Aug 2026,6.3,6,static,SHOP_NOW,OMRE.CO,☕ Less caffeine. More actual energy.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","Feeling slower, foggier, and more tired as you age? That’s declining NAD+ at work.
Omre’s NMN + Resveratrol gives your cells the fuel they need to bounce back.
✅ Boosts energy
✅ Sharpens focus
✅ Support healthy aging
Thousands of customers say it changed their life. Will you be next?",7268,False,image320.jpg
1266532719875791,Omre,Omre,12 Aug 2026,6.3,6,static,LEARN_MORE,OMRE.CO,⚡ The 7 reasons you start losing your edge in your 50s.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","The name that takes longer to come back. Losing your train of thought mid-meeting. Reading the same paragraph twice. 🧠
For high performers, even small slips are hard to ignore. There's a specific reason this starts happening in your 50s — and it's more fixable than most people realise. Dr. Pedram M.D. explains.",7268,False,image661.jpg
1680638553013902,Omre,Omre,12 Aug 2026,6.3,6,static,SHOP_NOW,OMRE.CO,☕ Less caffeine. More actual energy.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","Feeling slower, foggier, and more tired as you age? That’s declining NAD+ at work.
Omre’s NMN + Resveratrol gives your cells the fuel they need to bounce back.
✅ Boosts energy
✅ Sharpens focus
✅ Support healthy aging
Thousands of customers say it changed their life. Will you be next?",7268,False,image546.jpg
1097028022896479,Omre,Omre,14 Aug 2026,4.3,4,static,SHOP_NOW,ENERGY.OMRE.CO,Take the quiz now!,Built with Heyflow,"Feeling slower, foggier, and more tired as you age? That’s declining NAD+ at work.
Omre’s NMN + Resveratrol gives your cells the fuel they need to bounce back.
✅ Boosts energy
✅ Sharpens focus
✅ Support healthy aging
Thousands of customers say it changed their life. Will you be next?",7268,False,image823.jpg
1521796632593510,Omre,Omre,12 Aug 2026,6.3,6,static,LEARN_MORE,OMRE.CO,⚡ The 7 reasons you start losing your edge in your 50s.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","The name that takes longer to come back. Losing your train of thought mid-meeting. Reading the same paragraph twice. 🧠
For high performers, even small slips are hard to ignore. There's a specific reason this starts happening in your 50s — and it's more fixable than most people realise. Dr. Pedram M.D. explains.",7268,False,image1038.jpg
1372860088323056,Omre,Omre,14 Aug 2026,4.3,4,static,SEE_DETAILS,ENERGY.OMRE.CO,🔋 Your cells are running out of fuel.,Built with Heyflow,"Feeling slower, foggier, and more tired as you age? That’s declining NAD+ at work.
Omre’s NMN + Resveratrol gives your cells the fuel they need to bounce back.
✅ Boosts energy
✅ Sharpens focus
✅ Support healthy aging
Thousands of customers say it changed their life. Will you be next?",7268,False,image1423.jpg
1842100293428867,Omre,Omre,12 Aug 2026,6.3,6,static,LEARN_MORE,OMRE.CO,⚡ The 7 reasons you start losing your edge in your 50s.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","The name that takes longer to come back. Losing your train of thought mid-meeting. Reading the same paragraph twice. 🧠
For high performers, even small slips are hard to ignore. There's a specific reason this starts happening in your 50s — and it's more fixable than most people realise. Dr. Pedram M.D. explains.",7268,False,image697.jpg
1358082255925989,Omre,Omre,13 Aug 2026,5.3,5,static,SHOP_NOW,,,,,7268,True,image359.jpg
930749886219759,Omre,Omre,13 Aug 2026,5.3,5,static,LEARN_MORE,OMRE.CO,🔋 Your cells are running out of fuel.,"Support cellular health as you age with Omre's doctor-formulated, clinically dosed longevity supplements. Third-party tested. Made in the USA. Shop now.","Feeling slower, foggier, and more tired as you age? That’s declining NAD+ at work.
Omre’s NMN + Resveratrol gives your cells the fuel they need to bounce back.
✅ Boosts energy
✅ Sharpens focus
✅ Support healthy aging
Thousands of customers say it changed their life. Will you be next?",7268,False,image589.jpg
